First Name,Last Name,Gender,Age,Business Travel,Department,Distance From Home (KM),State,Ethnicity,Education Field,Job Role,Marital Status,Salary,Stock Option Level,Over Time,Hire Date,Attrition,Years At Company,Years In Most Recent Role,Years Since Last Promotion,Years With Current Manager,Education Level
Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,Doctorate
Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,Masters 
Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,Masters 
Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,Bachelors 
Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,High School 
Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,High School 
Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,Bachelors 
Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,High School 
Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,Masters 
Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,High School 
Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,Masters 
Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,Masters 
Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,Bachelors 
Edna,Alison,Non-Binary,37,Some Travel,Technology,3,IL,White,Computer Science,Software Engineer,Divorced,48395,1,No,2012-01-15,No,10,2,2,4,Bachelors 
Vernen,Powner,Male,33,Some Travel,Technology,4,NY,Mixed or multiple ethnic groups,Other,Senior Software Engineer,Single,97126,0,No,2012-01-15,No,10,8,10,2,Masters 
Willetta,Lurriman,Female,42,Some Travel,Technology,21,IL,Black or African American,Information Systems,Engineering Manager,Married,316208,1,No,2012-01-17,No,10,8,8,7,Bachelors 
Wendall,Dryden,Male,43,Some Travel,Sales,27,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,128885,0,Yes,2012-01-17,No,10,1,10,2,Bachelors 
Cale,Holston,Male,43,No Travel ,Sales,34,NY,White,Marketing ,Sales Executive,Married,108315,2,No,2012-01-17,No,10,9,10,10,Masters 
Ernaline,Napolione,Female,45,Frequent Traveller,Technology,19,NY,Asian or Asian American,Computer Science,Software Engineer,Married,136521,1,No,2012-01-18,No,10,3,6,1,No Formal Qualifications
Charlena,Severwright,Female,38,Some Travel,Sales,1,CA,White,Economics,Sales Executive,Single,151141,0,No,2012-01-19,No,10,3,6,9,No Formal Qualifications
Zsa zsa,Evered,Female,39,Frequent Traveller,Sales,17,CA,White,Technical Degree,Sales Executive,Married,107863,1,Yes,2012-01-19,Yes,8,8,8,5,High School 
Curcio,Franek,Male,33,Some Travel,Human Resources,3,CA,Mixed or multiple ethnic groups,Technical Degree,Recruiter,Divorced,53616,1,Yes,2012-01-19,No,10,2,3,7,No Formal Qualifications
Burnaby,Guillet,Male,36,No Travel ,Technology,36,IL,White,Information Systems,Software Engineer,Divorced,61298,1,Yes,2012-01-19,No,10,3,9,3,High School 
Elvira,Ianelli,Female,45,Some Travel,Human Resources,34,NY,Black or African American,Human Resources,Recruiter,Divorced,54132,1,Yes,2012-01-20,No,10,10,10,10,High School 
Baxie,Rising,Male,30,Some Travel,Technology,36,CA,American Indian or Alaska Native,Information Systems,Engineering Manager,Married,328415,0,No,2012-01-20,No,10,1,10,1,Masters 
Gifford,Poynser,Non-Binary,48,Some Travel,Technology,37,CA,White,Computer Science,Machine Learning Engineer,Single,145337,0,No,2012-01-21,No,10,10,10,0,Bachelors 
Rickey,Shere,Male,33,Some Travel,Sales,41,CA,Asian or Asian American,Marketing,Sales Executive,Married,71201,2,No,2012-01-24,No,10,8,10,4,High School 
Collen,Sedman,Female,31,No Travel ,Human Resources,25,NY,American Indian or Alaska Native,Marketing ,Recruiter,Divorced,55682,1,No,2012-01-25,No,10,0,2,0,High School 
Bertram,Doleman,Male,40,Some Travel,Sales,35,NY,White,Marketing,Sales Representative,Married,63455,1,Yes,2012-01-26,No,10,4,8,7,High School 
Bessie,Bellson,Female,47,Frequent Traveller,Sales,21,CA,White,Economics,Sales Executive,Single,65626,0,No,2012-01-27,No,10,2,5,1,Bachelors 
Joyce,Goor,Female,30,Frequent Traveller,Technology,44,CA,Black or African American,Computer Science,Software Engineer,Single,68508,0,Yes,2012-01-28,Yes,5,4,4,4,No Formal Qualifications
Claresta,Impy,Female,32,Some Travel,Technology,22,IL,White,Other,Data Scientist,Married,75821,1,No,2012-01-30,No,10,1,5,1,High School 
Rossie,Everleigh,Male,44,Some Travel,Sales,40,NY,White,Economics,Manager,Divorced,285620,1,No,2012-01-30,No,10,6,8,4,High School 
Elora,Bentjens,Female,48,Some Travel,Technology,17,CA,Black or African American,Information Systems,Software Engineer,Single,65860,0,No,2012-02-01,No,10,6,7,1,Bachelors 
Koenraad,Nannizzi,Male,47,Some Travel,Technology,41,NY,American Indian or Alaska Native,Computer Science,Data Scientist,Married,40786,0,No,2012-02-01,No,10,3,5,5,No Formal Qualifications
Dorise,Klishin,Female,31,Some Travel,Technology,20,CA,White,Computer Science,Software Engineer,Single,59697,0,Yes,2012-02-02,Yes,7,5,6,0,High School 
Gayle,Riseley,Female,32,No Travel ,Technology,12,NY,Black or African American,Computer Science,Engineering Manager,Married,316725,1,No,2012-02-02,No,10,6,10,2,Bachelors 
Staci,Leith,Female,28,Some Travel,Technology,14,IL,White,Business Studies,Software Engineer,Divorced,105984,2,Yes,2012-02-04,No,10,7,9,10,High School 
Pasquale,Abreheart,Male,32,Some Travel,Technology,15,CA,Mixed or multiple ethnic groups,Other,Analytics Manager,Married,393294,1,No,2012-02-04,No,10,2,2,2,Bachelors 
Alaine,Hinrichsen,Female,41,Frequent Traveller,Technology,7,CA,Black or African American,Business Studies,Machine Learning Engineer,Single,107008,0,No,2012-02-05,No,10,9,10,9,No Formal Qualifications
Dyana,Gallie,Female,34,Some Travel,Technology,5,CA,White,Information Systems,Data Scientist,Single,127432,0,Yes,2012-02-06,No,10,8,9,9,No Formal Qualifications
Lindy,Rawstorne,Male,45,Some Travel,Sales,20,CA,White,Marketing ,Sales Executive,Married,76693,1,No,2012-02-06,No,10,2,9,10,High School 
Joannes,McFadden,Female,39,Some Travel,Technology,31,CA,White,Information Systems,Software Engineer,Single,90017,0,Yes,2012-02-07,No,10,7,7,3,Bachelors 
Grace,Gohier,Male,44,Some Travel,Sales,21,CA,White,Marketing,Manager,Married,426142,0,No,2012-02-07,No,10,4,5,4,Bachelors 
Jaclin,Chadburn,Female,47,Some Travel,Technology,17,NY,White,Computer Science,Software Engineer,Married,46514,2,No,2012-02-12,No,10,9,9,2,High School 
Hagen,Worge,Male,48,No Travel ,Sales,9,CA,White,Economics,Sales Executive,Single,125587,0,No,2012-02-12,No,10,10,10,4,Doctorate
Lacy,Domerc,Female,47,Some Travel,Human Resources,21,NY,Mixed or multiple ethnic groups,Marketing ,HR Executive,Single,98608,0,No,2012-02-14,No,10,5,10,4,Bachelors 
Jaquelin,Kite,Female,48,Some Travel,Technology,30,NY,Black or African American,Information Systems,Software Engineer,Married,72794,1,No,2012-02-14,No,10,4,5,3,Bachelors 
Yvor,Walaron,Non-Binary,40,Some Travel,Technology,44,CA,White,Computer Science,Software Engineer,Single,69119,0,No,2012-02-15,No,10,8,10,5,High School 
Alvera,Kulver,Female,32,Frequent Traveller,Technology,13,CA,White,Computer Science,Data Scientist,Divorced,48835,1,Yes,2012-02-17,Yes,8,5,7,0,No Formal Qualifications
